topico,numero,pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,alternativa_e,resposta
PROTOZOÁRIOS,13,O ciclo do *Trypanosoma vivax* se caracteriza por:,Necessitar de vetor biológico obrigatório para completar seu ciclo.,Ser transmitido por fezes contaminadas do vetor.,Ser transmitido exclusivamente por transfusão sanguínea.,"Apresentar ciclo predominantemente mecânico, sem necessidade de desenvolvimento no vetor.",,D
PROTOZOÁRIOS,14,"Em relação à prevenção e controle da tripanossomíase causada por *T. evansi* em equinos e bovinos, é correto afirmar:",A vacinação é a principal forma de prevenção.,A eliminação de triatomíneos é essencial no controle da doença.,O uso de repelentes e controle de vetores mecânicos são medidas recomendadas.,O tratamento profilático com benzonidazol elimina totalmente o parasito.,"A doença só ocorre em regiões urbanas, não sendo preocupação em áreas rurais.",C
PROTOZOÁRIOS,15,"Sobre os hospedeiros e manifestações clínicas associadas aos tripanossomas abaixo, assinale a alternativa correta:","*T. cruzi* causa sintomatologia apenas em felinos, com quadro neurológico.",*T. evansi* é restrito a roedores silvestres.,"*T. vivax* causa doença em ruminantes, com febre, anemia e perda de peso.",*T. cruzi* é transmitido por via venérea entre equinos.,*T. vivax* infecta exclusivamente humanos.,C
PROTOZOÁRIOS,16,"Quanto ao modo de transmissão dos tripanossomas, considere as afirmações e marque a alternativa incorreta:",A transmissão estercorária ocorre quando o parasito é eliminado pelas fezes do vetor.,A transmissão salivar está associada à liberação do parasito junto à saliva do vetor durante a picada.,*Trypanosoma cruzi* é transmitido por via salivar.,*Trypanosoma vivax* e *T. evansi* são transmitidos por via salivária.,,C
PROTOZOÁRIOS,17,"Em relação ao controle da tripanossomíase causada por *Trypanosoma cruzi*, assinale a alternativa INCORRETA:",Melhorias habitacionais são importantes para reduzir abrigos de vetores.,O uso de inseticidas domiciliares é uma medida preventiva eficaz.,Animais domésticos podem atuar como reservatórios do parasito.,A vacinação em massa é a principal forma de prevenção.,,D
PROTOZOÁRIOS,18,"O *Trypanosoma evansi* pode infectar diversas espécies animais, inclusive equídeos, camelos e carnívoros. A doença causada por esse parasita é conhecida como:",Surra,Bambeira,Malária equina,Dourina,,A
PROTOZOÁRIOS,19,"No ciclo do *Trypanosoma cruzi*, a forma morfológica infectante para o hospedeiro vertebrado é:",Promastigota,Amastigota,Epimastigota,Tripomastigota metacíclico,,D
PROTOZOÁRIOS,20,A transmissão do *Trypanosoma evansi* difere da de *T. cruzi* pois:,Envolve desenvolvimento obrigatório no vetor,Depende da ingestão de fezes infectadas,"Ocorre de forma mecânica, sem multiplicação no vetor",Requer a presença de moluscos intermediários,,C
PROTOZOÁRIOS,21,A doença conhecida como “Mal das cadeiras” em equinos é causada por:,*Trypanosoma cruzi*,*Trypanosoma vivax*,*Trypanosoma equiperdum*,*Trypanosoma evansi*,,D
PROTOZOÁRIOS,22,Um ponto em comum entre *T. vivax* e *T. evansi* é:,Ambos necessitam de vetores biológicos hematófagos,Ambos se multiplicam exclusivamente no intestino do vetor,Ambos podem ser transmitidos mecanicamente por moscas,Ambos infectam exclusivamente carnívoros domésticos,,C
PROTOZOÁRIOS,23,O hospedeiro definitivo de *Toxoplasma gondii* é:,O cão,O gato,O homem,O rato,,B
PROTOZOÁRIOS,24,Qual das formas abaixo é eliminada pelas fezes dos felinos infectados?,Taquizoíto,Bradizoíto,Cisto tecidual,Oocisto esporulado,,D
PROTOZOÁRIOS,25,A infecção por *Toxoplasma gondii* pode ocorrer por meio de:,Inalação de oocistos,Ingestão de carne malcozida contendo cistos,Contato com gotículas de saliva,Mordida de inseto vetor,,B
PROTOZOÁRIOS,26,A forma de multiplicação ativa e disseminação do parasita no organismo é o:,Oocisto,Cisto tecidual,Taquizoíto,Bradizoíto,,D
PROTOZOÁRIOS,27,A fase crônica da infecção por *T. gondii* é caracterizada pela presença de:,Oocistos esporulados,Taquizoítos circulantes,Bradizoítos em cistos teciduais,Esporozoítos no sangue,,C
PROTOZOÁRIOS,28,A eliminação dos oocistos ocorre principalmente por:,Humanos infectados,Gatos infectados durante infecção,Animais herbívoros infectados,Insetos hematófagos,,B
PROTOZOÁRIOS,29,O principal método de prevenção da toxoplasmose em humanos é:,Uso de vacinas anuais,Evitar contato com pessoas infectadas,Evitar o consumo de carne malcozida e higiene alimentar,Ingerir suplementos vitamínicos,,C
PROTOZOÁRIOS,30,O ciclo de vida do *Toxoplasma gondii* é considerado:,Monoxênico,"Direto, sem necessitar de hospedeiros intermediários","Heteroxênico, com hospedeiros definitivos e intermediários",Exclusivo de felinos,,C
PROTOZOÁRIOS,31,"Nos gatos, a eliminação de oocistos ocorre por quanto tempo após a infecção primária?",Indefinidamente,Cerca de 1 a 2 semanas,Apenas durante a fase adulta,"Apenas se forem filhotes, devido à imunidade.",,B
PROTOZOÁRIOS,32,Qual das alternativas melhor descreve a conversão entre formas de *T. gondii* no hospedeiro?,Oocistos se transformam diretamente em cistos teciduais no intestino do hospedeiro definitivo.,Taquizoítos se convertem em bradizoítos na infecção aguda.,Bradizoítos podem se converter em taquizoítos diante de queda da imunidade do hospedeiro.,A conversão de taquizoítos para bradizoítos é um evento exclusivo do hospedeiro definitivo.,,C
PROTOZOÁRIOS,33,"No ciclo heteroxênico do *Toxoplasma gondii*, a esporulação dos oocistos no ambiente ocorre:",Imediatamente após a eliminação fecal pelo gato,Somente dentro do hospedeiro intermediário,"Após 24h no ambiente, dependendo da umidade e temperatura",Apenas em ambientes com temperatura superior a 37°C,,C
PROTOZOÁRIOS,34,A esporulação do oocisto ocorre:,No intestino do gato,No ambiente,No músculo do hospedeiro,No sangue,,B
PROTOZOÁRIOS,35,Forma intracelular responsável pela fase aguda:,Oocisto,Esporozoíto,Taquizoíto,Bradizoíto,,C
PROTOZOÁRIOS,36,A forma infectante presente nos tecidos é o(a):,Oocisto esporulado,Cisto com taquizoítos,Taquizoíto intracelular,Bradizoíto em cistos teciduais,,D
PROTOZOÁRIOS,37,Qual espécie animal é considerada o hospedeiro definitivo de *Neospora caninum*?,Bovinos,Ovinos,Cães,Suínos,,C
PROTOZOÁRIOS,38,Como ocorre a transmissão vertical da neosporose em bovinos?,Por via transcutânea no feto,Pela ingestão de oocistos presentes no leite,Por via transplacentária da vaca infectada para o feto,Pelo contato com secreções nasais de cães,,C
PROTOZOÁRIOS,39,A neosporose é uma causa importante de:,Mastite contagiosa,Abortamento em bovinos,Diarreia neonatal em suínos,Enterite em equinos,,B
PROTOZOÁRIOS,40,"Em casos de infecção congênita em cães, a infecção por *Neospora caninum* pode levar a:",Insuficiência renal crônica,Distúrbios neuromusculares,Pneumonia intersticial,É assintomático,,B
PROTOZOÁRIOS,41,Os oocistos de *Neospora caninum* são eliminados por:,"Bovinos, pelo leite","Cães, na fezes",Ovelhas e cabras no leite,Suínos por via urinária,,B
PROTOZOÁRIOS,42,O principal mecanismo de persistência da infecção em rebanhos bovinos é:,Transmissão horizontal,Recirculação ambiental de oocistos,Transmissão vertical,Recontaminação fecal-oral constante por gatos,,C
PROTOZOÁRIOS,43,Os tecidos mais frequentemente afetados em bovinos abortados por neosporose são:,"Fígado, baço e rim","Intestino, pulmão e cérebro","Cérebro, fígado e coração","Rins, pâncreas e coração",,C
PROTOZOÁRIOS,44,"Em relação à transmissão da neosporose, é correto afirmar que:",Cães são hospedeiros intermediários apenas,A transmissão horizontal é mais importante que a vertical em bovinos,"Os cães podem ter o ciclo completo, sem precisar de intermediários",Cães transmitem a doença através da mordedura,,C
PROTOZOÁRIOS,45,A neosporose afeta principalmente quais animais?,Cães e bovinos,Cães e gatos,Cães e suínos,Cães e equinos,,A
PROTOZOÁRIOS,46,O controle da neosporose em rebanhos bovinos deve priorizar:,Evitar o acesso de gatos nas pastagens,Impedir o contato dos bezerros com animais do rebanho infectados,Evitar o acesso de cães ao pasto e a ingestão de placentas/feto abordado,Vacinação de novilhas com vírus vivo atenuado,,C
PROTOZOÁRIOS,47,Qual das alternativas apresenta corretamente um grupo de hospedeiros intermediários de *Neospora caninum*?,"Cães, gatos e suínos","Bovinos, ovinos e caprinos","Cães, aves e equinos","Gatos, roedores e suínos",,B
PROTOZOÁRIOS,48,"Como os cães geralmente adquirem infecção por *Neospora caninum*, tornando-se hospedeiros definitivos?",Por ingestão de água contaminada com oocistos esporulados eliminados por bovinos infectados,Por consumo de tecidos de hospedeiros intermediários contendo cistos com bradizoítos,Por inalação de oocistos eliminados por outros cães,Por contato direto com secreções vaginais de vacas abortadas,,B
PROTOZOÁRIOS,49,A principal via de transmissão da criptosporidiose é:,Transmissão venérea,Ingestão de oocistos esporulados contaminando água e alimento,Picada de mosquitos vetores,Transmissão transplacentária,,B
PROTOZOÁRIOS,50,Quais são os principais sinais clínicos da criptosporidiose?,Diarreia aquosa e cólicas abdominais,Anemia severa e náusea,Fraqueza muscular,Problemas motores,,A
PROTOZOÁRIOS,51,Qual é o agente etiológico mais comum da criptosporidiose em mamíferos?,*Cryptosporidium nasoum*,*Eimeria tenella*,*Cryptosporidium parvum*,*Cryptosporidium meleagrides*,,C
PROTOZOÁRIOS,52,"A respeito do ciclo de vida do Cryptosporidium spp., é correto afirmar que:",Requer um hospedeiro intermediário para completar seu ciclo,"Possui ciclo direto, com transmissão fecal-oral",Seu ciclo inclui a fase de ovo embrionado no solo,Só se desenvolve fora do hospedeiro,,B
PROTOZOÁRIOS,53,Uma limitação do diagnóstico de criptosporidiose pelo exame coproparasitológico direto é:,Elevada sensibilidade que gera resultados falso-positivos,"Dificuldade em visualizar os pequenos oocistos, o que demanda habilidade técnica e atenção rigorosa","Exclusividade na detecção apenas de ovos helmínticos, não identificando protozoários","Necessidade obrigatória de microscopia eletrônica para confirmação, em decorrência do seu reduzido tamanho",,B
PROTOZOÁRIOS,54,Qual é a razão da resistência dos oocistos de Cryptosporidium à cloração da água?,Parede dupla espessa e resistente,Ausência de parede celular,Presença de cápsula gelatinosa hidrossolúvel,Ciclo exclusivamente intracelular,,A
PROTOZOÁRIOS,55,"Em relação à prevenção da criptosporidiose, é correto afirmar:",A pasteurização do leite não tem efeito sobre oocistos,Apenas medicamentos profiláticos são eficazes,Filtrar e ferver a água são medidas preventivas importantes,Apenas o isolamento dos animais doentes resolve o problema,,C
PROTOZOÁRIOS,56,"Com relação aos hospedeiros, o Cryptosporidium spp.:",Possui ciclo heteroxênico com hospedeiro intermediário,Infecta principalmente cães e gatos,Infecta apenas ruminantes jovens,Infecta diversas espécies,,D
PROTOZOÁRIOS,57,"Sobre o gênero *Cryptosporidium*, assinale a alternativa correta:",Trata-se de um protozoário com distribuição limitada a regiões tropicais.,"Possui especificidade parasitária elevada, infectando apenas mamíferos.","É cosmopolita e pode infectar uma ampla variedade de hospedeiros, incluindo humanos.",Seus oocistos apresentam esporocistos com quatro esporozoítos cada.,,C
PROTOZOÁRIOS,58,"Em relação à patogenia do Cryptosporidium spp., é correto afirmar que:","A infecção provoca proliferação das microvilosidades intestinais, aumentando a absorção.",Os oocistos liberam toxinas que causam necrose hepática.,"O parasita penetra nas células intestinais, causa atrofia de vilos e reduz a absorção de nutrientes.",A diarreia resulta da invasão do tecido muscular liso intestinal.,,C
PROTOZOÁRIOS,59,"Sobre a etiologia da isosporose, assinale a alternativa correta:",É causada por espécies do gênero *Eimeria*.,"Está relacionada ao gênero *Cystoisospora* em cães, gatos e suínos.",Envolve apenas espécies bacterianas oportunistas.,Afeta exclusivamente suínos.,,B
PROTOZOÁRIOS,60,Qual órgão é primariamente afetado pelas espécies de *Cystoisospora* nos hospedeiros?,Coração,Pulmões,Intestino,Sistema urinário,,C
PROTOZOÁRIOS,61,A infecção por *Isospora suis* em suínos ocorre mais frequentemente:,Por ingestão de alimentos fermentados,"Durante a gestação da fêmea, por via transplacentária","Coprofagia de oocistos eliminados pela fêmea no período peripuerperal, por parte dos leitões","Após o desmame, via aleitamento",,C
PROTOZOÁRIOS,62,Um hospedeiro paratênico na isosporose:,É necessário para que o ciclo do parasita se complete,Não participa do ciclo biológico,Roedores atuam como hospedeiros paratênicos,Elimina oocistos esporulados diretamente nas fezes,,C
PROTOZOÁRIOS,63,Assinale a alternativa correta sobre oocistos de *Cystoisospora* eliminados nas fezes:,"Já saem esporulados, pois não possuem o esporocisto",Saem não esporulados e esporulam no ambiente,Não representam risco de infecção,Requerem um hospedeiro intermediário para esporular,,B
PROTOZOÁRIOS,64,Os cistos extra-intestinais são encontrados:,Em hospedeiros intermediários,Em hospedeiros definitivos,"Em hospedeiros paratênicos, como roedores",Exclusivamente em suínos,,C
PROTOZOÁRIOS,65,Qual das espécies abaixo acomete suínos?,*Cystoisospora ahienses*,*Isospora suis*,*Cystoisospora canis*,*Isospora  rivolta*,,B
PROTOZOÁRIOS,66,"Sobre o controle da isosporose, marque a alternativa incorreta:",A limpeza regular das instalações é essencial,O calor úmido ou vapor pode destruir oocistos,"A fervura não destrói os oocistos, devendo ser evitada",A higiene é uma das principais formas de prevenção,,C
PROTOZOÁRIOS,67,"A respeito do ciclo biológico da isosporose, marque a alternativa correta:",A fase assexuada ocorre apenas em hospedeiros paratênicos.,O oocisto eliminado nas fezes já está esporulado.,O ciclo pode ser completado sem a presença do hospedeiro paratênico.,O parasita depende exclusivamente do ciclo heteroxênico.,,C
HELMINTOS,68,Qual das alternativas melhor descreve os efeitos da isosporose nos suínos neonatos?,"Constipação, vômito e convulsões.","Diarreia, desidratação, perda de peso e inapetência.","Prurido intenso, dermatite e febre.","Taquicardia, prostração e vômito.",,B
HELMINTOS,69,"Entre os seguintes parasitas gastrintestinais, o mais patogênico para ovinos e caprinos é:",Trichostrongylus axei,Haemonchus contortus,Ostertagia circumcincta,Cooperia punctata,,B
HELMINTOS,70,Qual alterna está correta:,O haemonchus sp é hematofago e causa pontos hemorragicos,O haemonchus sp causa nódulos na mucosa gástrica,A forma infectante do haemonchus sp é a L1,"Entre os parasitas: haemonchus spp, ostertagia spp e trichostrongylus axei, este último é o mais patogênico para ruminantes",,A
HELMINTOS,71,Qual alternativa esta incorreta sobre a haemonchus spp,O haemonchus spp é parasita de abomaso de ruminantes,"É um parasita hematófago, causando anemia, edema, gastrite e diarreia osmótica",Pertence a superfamília rhabditoidea,A doença clinica afeta mais animais jovens e os adultos são fontes de infecção,,C
HELMINTOS,72,"Parasito da superfície da mucosa do abomaso, causa anemia, pontos hemorrágicos, edema e diarreia osmótica, possui maior patogenicidade para ovinos e caprinos. De qual helmintose pertence essas características?",Trichostrongylus axei,Strongyloides spp,Nematodirus spp,Haemonchus sp,,D
HELMINTOS,73,Qual é o principal mecanismo patogênico causado por *Haemonchus contortus* em ovinos?,Obstrução intestinal com necrose.,Inibição da motilidade gastrointestinal.,Hematofagia que leva a anemia severa em alguns animais.,Estímulo da secreção de muco e aumento da motilidade intestinal.,,C
HELMINTOS,74,"Em uma infestação por *Haemonchus spp.*, qual é um sinal clínico característico observado nos animais afetados?",Mucosas hiperemiadas e aumento de salivação.,Mucosas pálidas e presença de edema submandibular.,Hipertermia e secreção nasal purulenta.,Diarreia sanguinolenta intensa.,,B
HELMINTOS,75,Qual das opções abaixo representa uma estratégia preventiva eficaz contra infecções por *Haemonchus* em rebanhos?,Uso contínuo de um único princípio ativo anti-helmíntico,Afastar os animais de áreas sombreadas,Implantação de controle integrado com rotação de pastagens,Suspensão da alimentação concentrada nos períodos chuvosos,,C
HELMINTOS,76,"Após ser ingerida pelo hospedeiro, onde a larva L3 de *Haemonchus* se desenvolve em forma adulta?",No intestino grosso,No fígado,No abomaso,No pulmão,,C
HELMINTOS,77,Qual é o local de desenvolvimento do estágio larval infectante (L3) de *Haemonchus contortus*?,No rúmen do hospedeiro.,"No ambiente, principalmente  em pastagens úmidas.","No intestino delgado, especificamente no jejuno.",No sangue periférico do animal.,,B
HELMINTOS,78,Qual das alternativas representa um fator ambiental que favorece a ocorrência de surtos de haemoncose em ruminantes?,"Climas úmidos e frios, com baixa umidade.","Pastagens altas e secas, com pouca densidade animal.","Climas quentes e úmidos, com manejo inadequado de pastagens.",Presença de solo arenoso e acúmulo de matéria orgânica seca.,,C
HELMINTOS,79,".Sobre a ostertagia, qual a alternativa correta?",Pertence à superfamília Ancylostomatidae.,"Localiza-se entre as glândulas gástricas, podendo causar diarreia, anemia, gastrite e emagrecimento.","Reduz o pH gástrico, levando à acidose ruminal grave.",Pode ser diferenciada de *Haemonchus spp.* na necropsia por não formar nódulos na mucosa gástrica.,,B
HELMINTOS,80,Qual é o principal local de instalação dos vermes adultos de *Ostertagia spp.* em ruminantes?,Rúmen,Retículo,Abomaso,Intestino delgado,,C
HELMINTOS,81,A destruição das células parietais pelas larvas de *Ostertagia spp.* resulta em:,Aumento da secreção de ácido clorídrico,Hemorragia grave no intestino,Aumento do pH gástrico e falha na digestão proteica,Estímulo à motilidade intestinal,,C
HELMINTOS,82,Um dos achados macroscópicos mais característicos da ostertagiose na necropsia é:,Hemorragias intensas no intestino,Nódulos na mucosa do abomaso,Lesões hepáticas com necrose,Dilatação do ceco e do cólon,,B
HELMINTOS,83,"Em relação ao ciclo de vida de *Ostertagia spp.*, é correto afirmar:",O ciclo é direto e não envolve estágio de vida livre,O desenvolvimento das larvas no ambiente não depende da temperatura,A larva L3 é a forma infectante ingerida pelo hospedeiro,A infecção ocorre exclusivamente por penetração cutânea,,C
HELMINTOS,84,Qual dos sinais clínicos abaixo é mais comum em casos de ostertagiose clínica em bovinos jovens?,Tosse seca,Mucosas cianóticas,Diarreia aquosa e perda de peso,Hipertermia intensa e secreção nasal,,C
HELMINTOS,85,O método mais utilizado para diagnóstico de rotina de ostertagiose é:,Sorologia por ELISA,Biópsia gástrica endoscópica,Exame coproparasitológico com contagem de ovos por grama,Cultura de larvas a partir de sangue periférico,,C
HELMINTOS,86,"Em infecções graves por *Ostertagia spp.*, a hipoproteinemia e a anemia leve ocorrem principalmente devido a:",Lesão hepática causada pela migração larval,Perda de sangue por ulcerações intestinais,Aumento da motilidade intestinal e desidratação,Danos na mucosa do abomaso que comprometem a digestão e absorção,,D
HELMINTOS,87,O termo “hipobiose” no contexto da ostertagiose refere-se a:,Multiplicação acelerada das larvas L1 no ambiente,Morte súbita das larvas devido ao sistema imune do hospedeiro,"Estado de latência das larvas no abomaso, com interrupção do desenvolvimento",Fase adulta do parasita que se instala no intestino delgado,,C
HELMINTOS,88,Qual das opções abaixo não representa uma medida eficaz de controle da ostertagiose?,Pastoreio rotacionado para reduzir contaminação,Tratamento seletivo com base no FAMACHA,Uso estratégico de anti-helmínticos,"Uso contínuo do mesmo vermífugo, com diagnóstico",,D
HELMINTOS,89,"Após a ingestão da larva L3 de *Ostertagia spp.*, qual o próximo passo no ciclo dentro do hospedeiro?",Migração para o fígado onde se transforma em L4,Penetração nas glândulas gástricas do abomaso e transformação em L4,Circulação no sangue periférico antes de atingir o intestino,Liberação de toxinas diretamente no rúmen,,B
HELMINTOS,90,Qual alternativa está correta?,O trichostrongylus axei é encontrado na mucosa intestinal,O principal sinal clínico apresentado durante a infecção por *trichostrongylus axei* é anemia,Ocorre formação de nódulo sobre a mucosa em infecções crônicas e reinfecções,"Pertence a superfamília trichostrongyloidea, sendo encontrado na mucosa intestinal",,C
HELMINTOS,91,"Sobre o parasita *Trichostrongylus axei*, assinale a alternativa correta:",É um parasita hematófago que se aloja no intestino delgado de ruminantes.,Elimina nas fezes ovos larvados com larvas no estágio L3.,"A forma infectante é a larva de terceiro estágio (L3), ingerida com o pasto.",Ocorre com maior frequência em animais adultos devido à imunidade adquirida.,,C
HELMINTOS,92,Onde ocorre a localização principal de *Trichostrongylus axei* no hospedeiro ruminante?,Intestino delgado,Abomaso,Ceco,Rúmen,,D
HELMINTOS,93,Qual sintoma é mais comum em infecções por *Trichostrongylus axei*?,Diarreia mucosa e persistente,Anorexia e emagrecimento gradual,Paralisia progressiva,Coceira intensa na pele,,B
HELMINTOS,94,O que diferencia *Trichostrongylus axei* de outros trichostrongylídeos do trato gastrintestinal?,Sua localização primária no rúmen e retículo,Seu ciclo de vida indireto com caramujos como hospedeiros intermediários,Capacidade de migrar para pulmões durante o ciclo,Produção de ovos maiores que outros trichostrongylídeos,,A
HELMINTOS,95,Qual das seguintes espécies pode ser hospedeira de *Trichostrongylus axei*?,Apenas bovinos,"Bovinos, ovinos, equinos e suínos",Apenas ovinos,Apenas equinos,,B
HELMINTOS,96,"Sobre a patogenia de *Trichostrongylus axei*, assinale a alternativa correta:",As larvas adultas causam necrose extensa da mucosa intestinal.,O parasita penetra nas glândulas gástricas do abomaso formando nódulos visíveis.,A presença do parasita no rúmen causa inflamação e prejuízo na digestão ruminal.,O parasita produz toxinas que causam obstrução intestinal grave.,,C
HELMINTOS,97,Marque a alternativa CORRETA sobre o gênero *Cooperia*:,A forma infectante é a larva de segundo estágio (L2).,As larvas penetram profundamente na mucosa gástrica.,A infecção pode causar enterite catarral com exsudato fibrino-necrótico.,Elimina nas fezes ovos larvados em estágio L3.,,C
HELMINTOS,98,Marque a alternativa INCORRETA sobre *Cooperia spp.*:,A infecção pode provocar diarreia mucosa.,É um nematoide que parasita o intestino delgado.,"Suas larvas infectantes penetram profundamente na mucosa intestinal, formando nódulos",Pode causar espessamento da parede intestinal.,,C
HELMINTOS,99,Qual é o principal local de fixação de *Cooperia* spp. nos ruminantes?,Rúmen,Intestino grosso,Intestino delgado,Abomaso,,C
HELMINTOS,100,A infecção por *Cooperia* spp. é mais comum em:,Ruminantes adultos imunizados,Animais jovens e desmamados,Neonatos com menos de 15 dias,Vacas em final de gestação,,B
HELMINTOS,101,"Por que o diagnóstico específico de *Cooperia* spp. em ruminantes, a partir do exame coprológico, pode ser desafiador?",Porque os ovos são pouco eliminados durante a fase adulta do parasita,Porque os ovos podem ser destruídos durante o processamento das amostras,Porque os ovos apresentam morfologia semelhante à de outros nematoides da superfamília *Trichostrongyloidea*,"Porque a maioria dos parasitas permanece em hipobiose, sem se reproduzi",,C
HELMINTOS,102,Marque a alternativa CORRETA sobre o gênero *Nematodirus*:,Os adultos penetram nas glândulas intestinais e causam anemia grave.,"As larvas penetram na mucosa, formando nódulos","Os vermes adultos enrolam-se entre as vilosidades intestinais, causando lesão no epitélio.",Ovos são eliminados já na forma de larva L3 nas fezes.,,C
HELMINTOS,103,Marque a alternativa INCORRETA sobre o gênero Nematodirus:,Os ovos eliminados nas fezes estão no estágio de mórula.,A forma infectante é a larva de terceiro estágio (L3).,"Os adultos causam ruptura do epitélio intestinal, levando à diarreia.","As larvas penetram profundamente na mucosa intestinal, causando nódulos hemorrágicos.",,D
HELMINTOS,104,Qual é a principal localização anatômica de *Nematodirus* spp. em ruminantes?,Rúmen,Intestino delgado,Intestino grosso,Abomaso,,B
HELMINTOS,105,Qual o principal sinal clínico associado à nematodirose em ovinos e bovinos jovens?,Anemia intensa e mucosas pálidas,Tosse seca e secreção nasal,"Diarreia catarral, emagrecimento e desidratação",Cólicas abdominais com timpanismo,,C
HELMINTOS,106,A presença de larvas em desenvolvimento de *Nematodirus* spp. no intestino delgado pode causar:,Hipertrofia da mucosa colônica,"Atrofia das vilosidades intestinais, dificultando a absorção de nutrientes",Ulcerações profundas no rúmen,Degeneração das células hepáticas,,B
HELMINTOS,107,Qual das alternativas descreve corretamente uma característica morfológica ou comportamental dos vermes adultos de *Nematodirus* spp. no intestino de ruminantes?,Possuem cápsula bucal com dentes que permitem perfuração da mucosa,Penetram na mucosa intestinal para se alimentarem de sangue,Ficam enrolados entre as vilosidades intestinais em contato com a mucosa,Permanecem ancorados à mucosa por meio de estruturas espiculares adaptadas à locomoção,,C
HELMINTOS,108,Por que *Nematodirus* spp. é considerado um parasita de grande importância clínica em cordeiros?,Porque causa hipoproteinemia e icterícia nos animais jovens,Porque sua ação hematófaga pode levar à anemia profunda em todas as idades,"Porque em animais jovens pode provocar diarreia grave, desidratação e atraso no desenvolvimento","Porque sua fase larval migra para o fígado, causando necrose hepática difusa",,C
HELMINTOS,109,"Em relação ao ciclo de Bunostomum spp., assinale a alternativa correta:",A infecção ocorre exclusivamente pela via oral.,"A forma infectante é a larva L3, que pode penetrar pela pele ou ser ingerida.","Após penetração, a larva vai diretamente ao intestino delgado, sem migração.","Não causa anemia, apenas dermatite leve.",,B
HELMINTOS,110,Marque a alternativa CORRETA sobre Bunostomum spp.:,"Os adultos não se alimentam de sangue, mas apenas do conteúdo intestinal.","A forma infectante é a larva de segundo estágio (L2), que penetra pela pele.",A infecção percutânea pode causar dermatite pruriginosa nos membros.,"O ciclo não inclui migração pulmonar, mesmo na infecção cutânea.",,C
